,Name,City,Country,Arena,Capactity,Logo URL,Division,City,State,,,,,,,,,,,,,,,,,,,,,,
players,Mason,Plumlee,C,29,211,254,7,67,1.7,3,0.56,5,0.60,0.10,0.10,2,37,4,24,2.3,65,62,0.7,1,60,,,,,,

players,Monte,Morris,PG,23,192.5,192,7,63,0.8,2.3,0.80,5.4,0.54,2.4,0.40,0.4,40,2.2,65,2.7,65,65,1,0.3,80,PT,,,,,

players,Troy,Daniels,SG,28,193,205,7,58,1,0.9,0.80,1.7,0.40,4.2,0.40,0.4,34,1.8,58,1.2,62,65,0.5,0.2,70,,,,,,

players,Keita,Bates-Diop,SF,24,203,229,7,70,0.5,1.6,0.72,3,0.50,2.3,0.32,0.5,53,2.7,69,1,70,65,0.5,0.5,72,,,,,,

players,Torrey,Craig,SG,29,201,221,7,68,0.6,1,0.68,2,0.46,2.2,0.32,1,36,2.5,70,1,69,74,0.5,0.5,64,,,,,,

players,Noah,Vonleh,PF,24,208,257,7,62,1,1.2,0.75,3,0.66,0.8,0.24,1.6,20,3.4,50,1,68,64,0.4,0.4,59,,,,,,

players,Vlatko,Cancar,SF,22,203,236,7,60,0.2,0.8,0.84,1.8,0.44,1.5,0.37,0.5,58,1.9,91,0.6,80,72,0.2,0.2,72,R,,,,,

players,PJ,Dozier,PG,23,198,205,7,57,0.5,0.6,0.68,3.5,0.46,1.8,0.30,0.6,34,1.6,70,1.7,74,69,0.4,0.4,71,,,,,,

,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

players,Christian,Wood,C,24,208,214,8,70,1,3.3,0.75,5,0.58,2,0.37,1.4,42,4,44,1,83,69,0.5,1,76,PT,,,,,

players,Blake,Griffin,PF,30,206,250,8,72,2.3,6.2,0.75,11,0.52,4.1,0.30,1.7,84,5.5,77,4,84,76,0.7,0.8,84,SP,,,,,

players,Sviatoslav,Mikhailiyuk,SF,22,201,205,8,63,1,1,0.83,2,0.47,4.2,0.40,0.4,36,1.2,58,1.5,70,68,0.6,0.2,70,,,,,,

players,Luke,Kennard,SG,23,196,206,8,62,1.4,2,0.88,5,0.50,5.2,0.40,0.3,42,3,54,3.4,93,77,0.5,0.3,73,,,,,,

players,Derrick,Rose,PG,31,188,200,8,68,2.6,3.5,0.85,13,0.57,3,0.30,1,78,2.3,74,5.6,78,68,1,0.5,84,PT,,,,,

